time_us,sample_index,saturated,event_id,event_time_us,true_rate_cps,sample_rate_msps,duration_ms,seed,signal,voltage_V
-3.0,46273,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,7.683556
-3.0,46273,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
-1.0,46473,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,7.806174
-1.0,46473,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
1.0,46673,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,7.940147
1.0,46673,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
3.0,46873,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,8.083991
3.0,46873,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
5.0,47073,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,8.194077
5.0,47073,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
7.0,47273,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,8.687134
7.0,47273,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
9.0,47473,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,8.796581
9.0,47473,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
11.0,47673,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,9.039077
11.0,47673,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
13.0,47873,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,9.197984
13.0,47873,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
15.0,48073,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,9.189207
15.0,48073,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
17.0,48273,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,9.453205
17.0,48273,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
19.0,48473,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,9.554081
19.0,48473,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
21.0,48673,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,9.473499
21.0,48673,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
23.0,48873,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,9.539888
23.0,48873,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
25.0,49073,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,9.170881
25.0,49073,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
27.0,49273,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,9.25077
27.0,49273,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
29.0,49473,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,9.048225
29.0,49473,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
31.0,49673,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,8.979497
31.0,49673,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
33.0,49873,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,8.472891
33.0,49873,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
35.0,50073,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,8.654351
35.0,50073,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
37.0,50273,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,8.838759
37.0,50273,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
39.0,50473,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,8.713117
39.0,50473,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
41.0,50673,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,8.566498
41.0,50673,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
43.0,50873,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,8.751688
43.0,50873,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
45.0,51073,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,7.956197
45.0,51073,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
47.0,51273,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,7.794775
47.0,51273,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
49.0,51473,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,7.635244
49.0,51473,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
51.0,51673,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,7.879283
51.0,51673,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
53.0,51873,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,7.897672
53.0,51873,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
55.0,52073,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,7.780984
55.0,52073,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
57.0,52273,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,7.699756
57.0,52273,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
59.0,52473,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,7.53895
59.0,52473,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
61.0,52673,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,7.640418
61.0,52673,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
63.0,52873,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,7.49338
63.0,52873,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
65.0,53073,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,7.107669
65.0,53073,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
67.0,53273,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,7.147098
67.0,53273,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
69.0,53473,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,7.694867
69.0,53473,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
71.0,53673,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,8.310474
71.0,53673,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
73.0,53873,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,8.127646
73.0,53873,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
75.0,54073,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,8.200062
75.0,54073,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
77.0,54273,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,8.14689
77.0,54273,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
79.0,54473,True,4635,465.723344,10000000,100,15,20260303,裁剪前诊断电压,8.219915
79.0,54473,True,4635,465.723344,10000000,100,15,20260303,裁剪后 ADC 输入,1.0
